#chr	start	end	phenotype_id
1	267252	267253	ENSG00000228463
1	714005	714006	ENSG00000228327
1	714149	714150	ENSG00000237491
1	762901	762902	ENSG00000225880
1	812282	812283	ENSG00000230368
1	894688	894689	ENSG00000188976
1	948802	948803	ENSG00000187608
1	1051740	1051741	ENSG00000131591
1	1142070	1142071	ENSG00000186891
1	1149511	1149512	ENSG00000186827
1	1167410	1167411	ENSG00000078808
1	1167628	1167629	ENSG00000176022
1	1209264	1209265	ENSG00000160087
1	1243397	1243398	ENSG00000131584
1	1243946	1243947	ENSG00000169972
1	1260070	1260071	ENSG00000127054
1	1260135	1260136	ENSG00000224051
1	1310874	1310875	ENSG00000175756
1	1334707	1334708	ENSG00000221978
1	1334901	1334902	ENSG00000224870
